SITE,POOL#,ANENOME,ARTC,BARN,BLEACHEDARTC,BLEACHEDENCC,BLEACHEDMAST,BLEACHEDODAN,BIOFILM,BRYOZOAN,CERAMIUM,CHONDRACANTHUS,CONSTANTINIA,CRUST,CRYPTO,DERMASTERIAS,DILSEA,EGREGIA,ELEGANTISSIMA,ENCC,ENCR,FILRED,GELLIDIUM,GUMBOOT,HERMIT,ISOPOD,JUVMAST,JUVMAZZ,JUVPRIO,JUVRED,JUVULVA,LAMELLOSA,LAMINARIA,LEPTASTERIAS,LIMPET,LITTORINE,MARGHARITES,MAST,MASTGAM,MAZZ,MOPALIA,MUSSEL,NEO,NEOGASTROCLONIUM,ODAN,ODAN-SORANTHERA,OSMUNDEA,PACHYGRAPSUS,PLOCAMIUM,PRIO,PTILOTA,PUGETTIA,RED1,RED2,RED3,RED4,RED5,RED6,RED7,RED8,RED9,RED10,RED11,RED12,RED13,REDTURF,REDHOLDFAST,SCULPIN,SERPULID,SG,SG adj,SG-SMITH,SPIRORBID,SPONGE,TEGULA,ULVA,URCHIN,XANTH,BARE
MR,5,0.063,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0.063,0,0,0,0,0.063,0,0,0.063,0,0,0,0.188,0.063,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126,1,0,0,0,0.188,0,0,0,0.0625
MR,6,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0.058,0,0.029,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0.114,0,0,0.086,0.142857143
MR,7,0,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0.314,0,0,0.063,0,0,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0.063,0,0.375
MR,8,0,0.014,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0.5,0,0,0,0,0.014,0,0.042,0,0,0.069,0,0.014,0,0,0,0,0,0.014,0.028,0.25,0,0,0.042,0,0.125,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0.959,0,0,0,0.014,0,0,0,0.152777778
MR,9,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0.233,0.009,0,0,0,0.018,0,0,0,0,0.094,0,0,0,0,0,0,0,0.027,0.028,0.214,0,0,0.037,0,0.047,0,0.009,0,0,0.066,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.823,0.823,0,0,0,0.065,0,0,0,0.392523364
MR,10,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.306,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779,0.779,0,0,0,0.167,0,0,0,0
MR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0,0,0,0,0,0,0.029,0,0,0.143,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0.143,0,0,0,0,0.029,0,0,0,0,0,0.086,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0.457,0.457,0,0,0,0.172,0,0,0,0.057142857
MR,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0.056,0,0.056,0,0,0.167,0,0,0,0,0,0,0.056,0,0,0,0.056,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0.556,0,0.056,0,0.056,0,0,0,0.277777778
MR,13,0,0.028,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0.111,0,0,0,0,0.028,0,0.014,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139,1,0,0,0,0.084,0,0,0,0.069444444
MR,14,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.23,0,0.02,0,0,0.02,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0.14,0,0.04,0,0,0.11,0,0,0,0,0,0,0,0.01,0.02,0.01,0.03,0,0,0,0,0,0,0,0,0.24,0.24,0,0,0,0.05,0,0,0.01,0.06
MR,15,0,0.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0.056,0,0,0.056,0,0.028,0,0,0,0,0,0,0,0.139,0,0.112,0,0,0,0,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0.139,0,0,0,0.111,0,0,0,0
MR,16,0,0.334,0,0,0,0,0,0,0,0,0.007,0,0,0.028,0,0,0,0,0.146,0.007,0,0.174,0,0.021,0,0,0,0,0.021,0,0,0,0,0,0.007,0,0,0.028,0.007,0,0,0.056,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0,0,0,0.077,0,0,0.014,0.041666667
MR,17,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.009,0.037,0,0.009,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.009,0,0,0,0.028,0,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444444
MR,18,0,0.088,0,0,0,0,0,0,0,0,0.004,0,0,0.007,0,0,0,0,0.234,0.058,0.028,0.032,0,0.008,0,0,0,0,0.007,0,0,0,0,0,0,0,0.046,0.042,0.043,0,0,0.096,0.004,0.251,0,0,0,0,0.046,0,0.007,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.629,0.629,0.028,0,0,0.064,0,0,0.015,0.098939929
MR,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0.037,0,0.018,0,0,0.047,0,0,0,0,0.009,0.018,0,0.047,0.243,0,0,0.009,0,0,0,0,0,0.009,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795,0.795,0,0,0,0.103,0,0,0,0.08411215
MR,20,0,0,0.019,0,0,0.019,0,0.018,0,0,0,0,0.075,0,0,0,0,0,0.065,0.019,0,0,0,0,0,0.037,0,0,0.037,0,0,0,0,0.028,0.113,0,0.17,0.104,0,0,0.009,0.009,0,0.207,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.424,0,0,0,0.057,0,0.009,0,0.047169811
